lat,lon,v
17.25,-93.75,0.22077923064882105
17.25,-92.75,0.5619834878227927
17.25,-89.25,1.3719008673321118
17.25,-99.75,0.10884353944233485
16.75,121.75,0.9525079477711447
16.75,122.25,1.1916591376066208
16.75,122.75,0.3824376164536391
16.75,17.75,0.7302052568305621
16.75,18.25,5.427859401838346
16.75,19.25,4.096733153205026
16.75,19.75,0.8957919287706979
16.75,20.25,0.6945606727491727
16.75,-95.25,0.029117379869733537
16.75,-93.25,0.14718614992770282
16.75,-91.75,0.1545454568483613
16.75,-89.25,0.10196560443463651
16.75,-88.75,1.555352737957781
16.25,121.75,0.6859521804643529
16.25,122.25,0.7949410773414586
16.25,7.25,0.5909090909090909
16.25,7.75,1.8515151820399547
16.25,16.25,0.6036363501440395
16.25,17.25,2.1517334502529013
16.25,17.75,18.877778525887564
16.25,18.25,6.315534304488788
16.25,18.75,3.018181863156232
16.25,19.25,9.431116131218998
16.25,19.75,0.46931235068901017
16.25,20.25,1.445351983674548
16.25,20.75,0.21870883147824896
16.25,-95.25,0.029117379869733537
16.25,-93.75,0.6623376689173959
16.25,-91.75,0.07727272842418065
16.25,-89.25,1.7940241938287562
16.25,-88.75,3.674881598658182
16.25,-88.25,0.34297521683302795
15.75,24.75,0.6000000130046497
15.75,26.25,0.49090911041606555
15.75,16.25,0.9054545252160592
15.75,17.25,4.6138487204655325
15.75,17.75,2.799840022894469
15.75,18.25,6.2242752317000525
15.75,18.75,1.762950626455925
15.75,19.25,18.98536764669486
15.75,19.75,4.347283982079137
15.75,20.25,13.257037466328423
15.75,-92.25,3.005050464109941
15.75,-91.25,0.1545454568483613
15.75,-89.25,6.088531108911742
15.75,-88.75,20.2755759277127
15.75,-88.25,1.2102071542970159
15.75,-87.75,1.905893782577054
15.75,-87.25,0.10196560443463651
15.75,-86.75,0.10196560443463651
15.25,121.75,0.3847619140786784
15.25,122.25,0.7185994318819472
15.25,43.75,0.19138756123456088
15.25,17.25,23.1418623582206
15.25,17.75,14.264769375832243
15.25,18.25,13.991513326594774
15.25,18.75,16.769805770536717
15.25,19.25,23.90957657831975
15.25,19.75,34.704414663497694
15.25,20.25,3.687535922974348
15.25,20.75,0.20953393511643464
15.25,22.25,0.43457604597576643
15.25,-93.25,0.46363637054508383
15.25,-91.75,0.8316017511216076
15.25,-89.75,0.12607296113856137
15.25,-89.25,1.5861648915504867
15.25,-88.75,8.960472551936453
15.25,-88.25,0.7642191248861226
15.25,-87.75,0.14510490051047367
15.25,-86.75,0.34297521683302795
14.75,120.25,0.08264463056217541
14.75,121.75,0.1923809570393392
14.75,43.75,0.6128702922300859
14.75,44.25,2.159023772586476
14.75,17.25,6.19307122447274
14.75,17.75,9.70851880559613
14.75,18.25,15.713735742325131
14.75,18.75,5.236713313772767
14.75,19.25,14.187733475457538
14.75,19.75,1.1261181695894762
14.75,20.25,1.049987730654803
14.75,-92.75,0.4121212221004746
14.75,-90.25,0.05863273443537764
14.75,-89.25,0.10196560443463651
14.75,-88.75,1.0289256504990838
14.75,-88.25,0.6271236685358665
14.75,-87.25,5.830578348853371
14.75,-86.75,0.7255244884978642
14.25,122.25,0.3182773188288723
14.25,43.75,0.8859738707542419
14.25,44.25,0.19138756123456088
14.25,42.75,1.5239680389111694
14.25,43.25,1.6653164408423684
14.25,16.25,1.7496706518259917
14.25,16.75,0.024779818041927436
14.25,17.25,0.10591373780996284
14.25,17.75,5.92926682938229
14.25,18.25,6.866598284464668
14.25,18.75,0.9471282105554233
14.25,19.25,2.849235012217171
14.25,19.75,0.754545465789058
14.25,20.25,11.589235976338387
14.25,20.75,0.12389908493919807
14.25,21.25,0.04955963608385487
14.25,-89.75,2.197209498845041
14.25,-87.75,0.677156193012541
13.75,120.75,0.01165501180697571
13.75,122.25,0.1923809570393392
13.75,102.75,8.137770293957807
13.75,103.25,1.2670346556062047
